TIMESTAMP,ID,CHAT ID,MODEL,CTX SETTING,IN TOKEN,OUT TOKEN,TOTAL TOKEN,TTFT,TPS,CPU (%),RAM (gb)
1742736654.634248,4,20250323143042test,llama3.2,2048,158,187,345,0.19716310501098633,79.18766015656512,3.183333333333333,8.744412740071615
1742736946.2400708,1,20250323143545Hello,llama3.2,2048,2,8,10,0.21395492553710938,6.4524142975845,4.7,8.86932373046875
1742736948.94625,2,20250323143545Hello,llama3.2,2048,10,35,45,0.20066213607788086,46.28239832576991,4.4,8.822845458984375
1742736951.9881961,3,20250323143545Hello,llama3.2,2048,45,45,90,0.2172260284423828,49.17646016638484,6.25,8.804977416992188
1742736954.7224388,4,20250323143545Hello,llama3.2,2048,90,53,143,0.19687914848327637,51.683665381810215,3.9,8.806129455566406
1742736965.347965,5,20250323143545Hello,llama3.2,2048,152,153,305,0.22275304794311523,73.03555513774393,2.88,8.786083984375
1742736973.7590568,6,20250323143545Hello,llama3.2,2048,314,101,415,0.21867799758911133,66.53995659447753,4.166666666666667,8.793451944986979
1742737025.521565,1,20250323143642viele mess,llama3.2,2048,6,572,578,0.24598073959350586,24.989305314024495,1.7458937198067634,8.541507886803668
1742737035.6726248,2,20250323143642viele mess,llama3.2,2048,578,250,828,0.21571803092956543,30.02874245419653,1.8480519480519477,8.665748298942269
1742737043.2398012,3,20250323143642viele mess,llama3.2,2048,829,180,1009,0.21423697471618652,27.942717214156232,2.9271186440677974,8.668180304058527
1742737078.948382,1,20250323143751wenige mes,llama3.2,2048,6,520,526,0.21886396408081055,71.36014344807043,6.3,8.705085754394531
1742737081.957741,2,20250323143751wenige mes,llama3.2,2048,527,65,592,0.21663880348205566,64.10611013149253,5.7,8.701812744140625
1742737085.252784,3,20250323143751wenige mes,llama3.2,2048,593,94,687,0.21593499183654785,63.84941391077089,5.8,8.756118774414062
1742737088.729992,4,20250323143751wenige mes,llama3.2,2048,688,159,847,0.19274187088012695,73.07592608278262,7.0,8.6842041015625
1742737994.976526,1,20250323145312Hello,llama3.2,2048,2,8,10,1.2743029594421387,3.52699926589242,9.0,8.81976318359375
1742737998.5451279,2,20250323145312Hello,llama3.2,2048,10,38,48,0.47659993171691895,36.161960588924494,9.45,8.732566833496094
1742738002.744961,3,20250323145312Hello,llama3.2,2048,48,57,105,0.20720505714416504,53.49711150678047,7.6000000000000005,8.713673909505209
1742738008.950575,4,20250323145312Hello,llama3.2,2048,108,133,241,0.21255207061767578,72.94573370529602,8.919999999999998,8.696578979492188
1742738018.793427,5,20250323145312Hello,llama3.2,2048,246,51,297,0.22604799270629883,56.7148285586112,7.0,8.697097778320312
1742738021.5252469,6,20250323145312Hello,llama3.2,2048,298,60,358,0.20764589309692383,61.3311432101714,8.133333333333333,8.668650309244791
1742738023.842633,7,20250323145312Hello,llama3.2,2048,359,59,418,0.21811294555664062,53.34851943290128,7.966666666666666,8.644093831380209
1742738028.073513,8,20250323145312Hello,llama3.2,2048,422,59,481,0.22385311126708984,55.704834353574434,7.666666666666667,8.730845133463541
1742738067.688271,1,20250323145426Hello my f,llama3.2,2048,4,26,30,0.20229601860046387,20.97244359415059,9.780000000000001,8.672048950195313
1742738069.745749,2,20250323145426Hello my f,llama3.2,2048,32,17,49,0.20293712615966797,36.908675016732396,8.5,8.649295806884766
1742738072.412996,3,20250323145426Hello my f,llama3.2,2048,50,34,84,0.20139408111572266,45.77360405537397,7.814285714285716,8.713575090680804
1742738075.29703,4,20250323145426Hello my f,llama3.2,2048,84,55,139,0.19427728652954102,54.96718458409344,2.91,8.716094970703125
1742738077.6737669,5,20250323145426Hello my f,llama3.2,2048,139,25,164,0.2040698528289795,40.2596086212669,9.2,8.716635131835938
1742738494.448875,1,20250323150132Helllo,llama3.2,2048,3,10,13,0.778123140335083,6.282168128530374,10.45,8.844810485839844
1742738501.734643,2,20250323150132Helllo,llama3.2,2048,13,39,52,0.4666612148284912,36.21465266974208,10.95,8.697860717773438
1742738536.269176,3,20250323150132Helllo,llama3.2,2048,54,29,83,0.20328521728515625,42.79596355362372,7.733333333333333,8.735646565755209
1742739304.8777611,1,20250323151502Hello,llama3.2,2048,2,26,28,0.8476369380950928,13.601221881009284,7.4,8.849026489257813
1742739313.9987469,2,20250323151502Hello,llama3.2,2048,28,41,69,0.4669759273529053,35.797008035497576,4.6000000000000005,8.819085015190971
